trade_date,ts_code,total_score,rank
2023-12-29,000001.SZ,,1
2023-12-29,000002.SZ,,2
2023-12-29,000063.SZ,,3
2023-12-29,000069.SZ,,4
2023-12-29,000100.SZ,,5
2023-12-29,000157.SZ,,6
2023-12-29,000166.SZ,,7
2023-12-29,000333.SZ,,8
2023-12-29,000338.SZ,,9
2023-12-29,000425.SZ,,10
2023-12-29,000538.SZ,,11
2023-12-29,000568.SZ,,12
2023-12-29,000625.SZ,,13
2023-12-29,000651.SZ,,14
2023-12-29,000656.SZ,,15
2023-12-29,000725.SZ,,16
2023-12-29,000768.SZ,,17
2023-12-29,000776.SZ,,18
2023-12-29,000858.SZ,,19
2023-12-29,000895.SZ,,20
2023-12-29,001979.SZ,,21
2023-12-29,002007.SZ,,22
2023-12-29,002027.SZ,,23
2023-12-29,002049.SZ,,24
2023-12-29,002050.SZ,,25
2023-12-29,002129.SZ,,26
2023-12-29,002142.SZ,,27
2023-12-29,002179.SZ,,28
2023-12-29,002230.SZ,,29
2023-12-29,002236.SZ,,30
